0:00:00 :  okay start we've done the part right we've done the part already so Nancy
0:00:14.840000 :  you have and Kelvin Kelvin right out okay so
0:00:26.760000 :  yeah I'm professor Hinn Kee and assistant professor in the department here
0:00:32.160000 :  for three years now working primarily in contemporary European philosophy and
0:00:42.240000 :  I'm Saulus Saulus Genitras so I'm professor here I've been here for 12 years as well as
0:00:47.880000 :  now I serve in the capacity as a department chair also working in mainly
0:00:54.240000 :  in European philosophy but as you know offering also a variety of other courses
0:00:58.720000 :  as also professor Keats. Before we get into the gender issues part we actually
0:01:07.360000 :  can't want to know more about the position being a department head. Can you tell us more about
0:01:14.800000 :  what does a department head do exactly? Close to a normal teaching staff. Right so there are a number of
0:01:27.720000 :  administrative responsibilities that the department chair has but in general I
0:01:34.200000 :  would say that you know there are different departments worldwide out of all departments
0:01:40.080000 :  I would say our department is one of the most democratic ones that I have seen. What do I mean by that?
0:01:45.600000 :  By this I mean that virtually all of the decisions that are reached have to pass through certain
0:01:51.800000 :  committees so in some departments a department chair is the one who you know reaches a decision
0:01:57.200000 :  and and one moves on from there that's certainly not the case at COHK so there are a number of you
0:02:03.680000 :  know day-to-day matters to attend there are also matters relating to strategic planning and then
0:02:12.200000 :  often the initiative comes from the department chair. The department chair usually serves on
0:02:19.200000 :  more committees than others so committee work you know eats up a lot of time. The department chair
0:02:25.480000 :  is the one who also mediates between the department and the faculty. So we as a department of philosophy
0:02:35.280000 :  are within the faculty of art and then you know we need to comply with certain policies within the
0:02:44.640000 :  faculty but we also need to let the department the department's voice be heard. So these are
0:02:53.880000 :  briefly the functions of the department chair. I've heard you've become the department chair since last year right?
0:03:03.080000 :  That's right. How does the process go? What process has to be gone through in order for you to become a department chair?
0:03:12.960000 :  Right so usually there are nominations. Nominations are followed by reflections and then one either
0:03:22.560000 :  accepts or one does not. That's basically how it goes. So candidates are nominated, the department
0:03:32.640000 :  reaches a decision which of the nominees should be you know supported and then of course the
0:03:42.120000 :  candidate still has the freedom to say yes or no. The nominations come from within the department
0:03:49.680000 :  and then the decision is made by the executive committee. That's right. So an executive committee
0:03:55.240000 :  within the department looks at all the nominations and votes. So what are the executive committee?
0:04:03.200000 :  The executive committee is made up of ten department members. Now we have ten I believe. Ten department members.
0:04:11.120000 :  Generally the more senior members but there are a few different criteria for who's on the committee.
0:04:23.360000 :  The end of the makeup changes every year. In other words, can staff still have the right to be vetoed?
0:04:31.080000 :  Absolutely. We also have the department board. The idea is to relieve all colleagues of various
0:04:41.080000 :  responsibilities that eat up very much time. So those colleagues who don't serve on the executive
0:04:46.920000 :  committee they do in effect have much more time for their own work, for teaching, for research,
0:04:52.160000 :  for their own personal matters. So the idea is not to have the whole department so that it functions
0:04:59 :  better. That's an overall structure within the university. Can you describe the general life of a scholar in the law department?
0:05:19.760000 :  What does it do? You mentioned teaching and research and some administration.
0:05:24.680000 :  That's right. So usually I remember when I got my first position before I moved to Hong Kong in the
0:05:33.440000 :  United States the department chair was the dean then told me that you know the real challenge of
0:05:40.440000 :  being a faculty member is that one needs to sit on a chair with three legs and one needs to balance
0:05:45.840000 :  so as not to fall. Those three legs are teaching, research and service. So if you go too much on one side you fall.
0:05:55.680000 :  If you go too much on the other side you fall. So these are indeed the three fundamental responsibilities.
0:06:01.640000 :  CUHK is a research university so research matters very much. At the same time especially the department
0:06:12.200000 :  but not only the department. Historically the department very much values the quality of teaching.
0:06:19.400000 :  So often, not so rarely, let me put it this way, our colleagues win teaching awards. So in fact today we were at a ceremony
0:06:31.360000 :  where Professor Key received a teaching award in general education. So this is something the department takes very seriously.
0:06:38.240000 :  And then you know for the most part I would say fewer colleagues want to be engaged in service because of the nature of the work.
0:06:47.720000 :  But then for the most part indeed as Professor Key mentioned there is this general understanding that the more the longer the faculty members have been in the department
0:07:01.600000 :  the more service obligations they should take on because they know the department better. They understand the details better.
0:07:10.160000 :  And also it is part of our responsibility to relieve junior faculty members of many of these responsibilities so that they can focus more on teaching and research.
0:07:23.160000 :  Maybe also worth mentioning that service is not just within the department but one also has service responsibilities to faculty, university and college.
0:07:33.160000 :  That's right. Thank you for this addition indeed. And also on Canada there is also external service. So also service to the community.
0:07:41.160000 :  It can be service to publishing houses, it can be service to journals, it can be service say serving on certain examination committees at other universities.
0:07:55.160000 :  So you know different kinds of service. So I hope that clarifies the matter somewhat.
0:08:04.160000 :  That's right. You only see us in the classroom maybe three or six hours a week. So it's natural that you're curious what do these guys do the rest of the time.
0:08:13.160000 :  We try to find some more information on the internet but there's not much. There's not much information for us.
0:08:21.160000 :  I guess we can move into the meat of our conversation.
0:08:28.160000 :  So we've noticed that we've got some information from the department when we know that there are generally more male students than females in the department.
0:08:46.160000 :  For undergraduate students I remember the statistics about 73. So 70% of undergraduate students are male and 30% are female.
0:09:02.160000 :  The statistics hover around that number but we don't quite actually know how's the situation for postgraduate students. I wonder if you know anything about that.
0:09:13.160000 :  Yeah. So indeed there are more male students especially at the undergraduate level in the philosophy department.
0:09:26.160000 :  In this regard our department is by no means unique. We have very supportive staff in the department and they provided me with some details about this.
0:09:41.160000 :  So I double checked the details and the details that I received were that worldwide a discipline such as philosophy appeals more to male students.
0:09:51.160000 :  And on average in Western universities and I guess that means in North America as well as in Europe there are from 30 to 35% of female students enrolled in the undergraduate programs.
0:10:11.160000 :  So the majority indeed worldwide is male. Let me see if I wrote this down. I did not. Basically when I found out the numbers at UH State were exactly there.
0:10:27.160000 :  I double checked. We are about 35%. It's only more than 30. I think 30 from 72 I can double check if you're interested. So that's sort of as far as the numbers are concerned.
0:10:41.160000 :  Generally I did not check this but generally there are more female students I would guess at the post-graduate level. But I'm not sure because I did not check. But that's my general impression.
0:10:58.160000 :  Still I would say there are more male students than female students. So this is briefly about the composition of philosophy. So indeed for historical reasons some of them you mentioned in the draft.
0:11:17.160000 :  So I think that philosophy appeals more to male students than to female students. Of course this is very much changing. And each year there are more and more female students in the departments of philosophy.
0:11:32.160000 :  So that's also quite clear. Not only changing I was really shocked. It's honestly not an overstatement by some of the comments that people were referring to that I presume male students were making about female students.
0:11:52.160000 :  Such as it was in the draft, the place of women is in the kitchen and similar things. So not only this is just really unbelievable but it's also to tell the truth completely stupid.
0:12:06.160000 :  And it's completely stupid. Why? Because it's women nowadays that have much better chances to progress further in philosophy than men. Why do I say that? Because of this recognition that departments of philosophy worldwide were privileging male students over female students.
0:12:23.160000 :  So not only is this comment imbecilic but it's also idiotic. Maybe you have something to add.
0:12:35.160000 :  I wanted to ask just by way of clarification because we saw that in the draft there were a couple of remarks and direct quotes. But we weren't sure are those things that you're directly attributing to students in the department? Or are they examples of the kind of things that one has heard? And of course we know it's just a draft so we're not sure that is.
0:12:56.160000 :  Those quotes were, we translated those quotes from our interviews and our interviews overheard them in different situations. Maybe in some gatherings or perhaps in those orientation camps etc.
0:13:15.160000 :  Even in orientation camps? I believe so. But also mostly in orientation camps and in gatherings. You can correct me if I'm wrong.
0:13:28.160000 :  I also want some further clarification on this because was this something that was said on one occasion or was it something that was said repeatedly? The comments that we hear. Do you know?
0:13:44.160000 :  What were the comments like? Women's places in the kitchen, women's talking is uninteresting. These were the comments in quotation marks.
0:13:55.160000 :  Yeah. Well our interviews overheard those conversations I guess only once or twice. But I think one thing that should be noted is that the general atmosphere within those gatherings or those groups, they do not, I can actually recount the experience.
0:14:24.160000 :  Our interviewers went to some, I remember it was a lunch gathering or some sort of dinner gathering and he overheard the conversation about women's talking is uninteresting or they belong in the kitchen.
0:14:38.160000 :  And he felt that it's wrong to say that but because others in the room does not appear to be shocked by those comments so he didn't voice out at that moment.
0:14:56.160000 :  And I remember there was also a female student at the gathering also and she was the one who spoke out against the student. So that's the entire experience they had.
0:15:12.160000 :  Okay, thanks for the clarification. In general, because this is something I hear for the first time, if we could hear about that, students, if they could either, if it happens especially in class or something of the kind, please inform the teacher.
